ID,Class,Skill,Talent Point Cost,Talent Level,Tooltip,Talent Level Necessary,Character Level Necessary
112010,Common,#############,2,4,"Increases Crit Resist for 5 seconds by 30% chance when critically attacked. Crit Resist increases by 20 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 45 in total maximum",26,20
112010,Common,#############,2,5,"Increases Crit Resist for 5 seconds by 30% chance when critically attacked. Crit Resist increases by 25 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 50 in total maximum",31,20
112010,Common,#############,3,6,"Increases Crit Resist for 5 seconds by 35% chance when critically attacked. Crit Resist increases by 30 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 50 in total maximum",36,20
112010,Common,#############,3,7,"Increases Crit Resist for 5 seconds by 40% chance when critically attacked. Crit Resist increases by 30 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 50 in total maximum",41,20
112010,Common,#############,3,8,"Increases Crit Resist for 5 seconds by 45% chance when critically attacked. Crit Resist increases by 30 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 50 in total maximum",46,20
112010,Common,#############,3,9,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 30 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 50 in total maximum",51,20
112010,Common,#############,3,10,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 35 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 55 in total maximum",56,20
112010,Common,#############,4,11,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 36 when critically attacked for the first time, and increases by 6 with each attacks from enemy. Can increase 66 in total maximum",66,20
112010,Common,#############,4,12,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 36 when critically attacked for the first time, and increases by 6 with each attacks from enemy. Can increase 72 in total maximum",76,20
112010,Common,#############,4,13,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 42 when critically attacked for the first time, and increases by 6 with each attacks from enemy. Can increase 78 in total maximum",86,20
112010,Common,#############,4,14,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 42 when critically attacked for the first time, and increases by 6 with each attacks from enemy. Can increase 84 in total maximum",96,20
112010,Common,#############,4,15,"Increases Crit Resist for 5 seconds by 50% chance when critically attacked. Crit Resist increases by 48 when critically attacked for the first time, and increases by 6 with each attacks from enemy. Can increase 90 in total maximum",106,20
810210,Warrior,Evasive roll,1,1,Combat Movement increase by 7 for 3 seconds,5,1
810210,Warrior,Evasive roll,1,2,Combat Movement increase by 9 for 3 seconds,10,1
810210,Warrior,Evasive roll,1,3,Combat Movement increase by 11 for 3 seconds,15,1
810210,Warrior,Evasive roll,2,4,Combat Movement increase by 13 for 3 seconds,20,1
810210,Warrior,Evasive roll,2,5,Combat Movement increase by 15 for 3 seconds,25,1
810210,Warrior,Evasive roll,2,6,Combat Movement increase by 17 for 3 seconds,30,1
810210,Warrior,Evasive roll,3,7,Combat Movement increase by 19 for 3 seconds,35,1
810210,Warrior,Evasive roll,3,8,Combat Movement increase by 21 for 3 seconds,40,1
810210,Warrior,Evasive roll,3,9,Combat Movement increase by 23 for 3 seconds,45,1
810210,Warrior,Evasive roll,4,10,Combat Movement increase by 25 for 3 seconds,53,1
810210,Warrior,Evasive roll,4,11,Combat Movement increase by 27 for 3 seconds,61,1
810210,Warrior,Evasive roll,4,12,Combat Movement increase by 29 for 3 seconds,69,1
810210,Warrior,Evasive roll,4,13,Combat Movement increase by 31 for 3 seconds,77,1
810210,Warrior,Evasive roll,4,14,Combat Movement increase by 33 for 3 seconds,85,1
810210,Warrior,Evasive roll,4,15,Combat Movement increase by 35 for 3 seconds,93,1
810220,Warrior,Evasive roll,1,1,Crit Factor for first attack increases by 7 for 5% chance,2,1
810220,Warrior,Evasive roll,1,2,Crit Factor for first attack increases by 7 for 7% chance,7,1
810220,Warrior,Evasive roll,2,3,Crit Factor for first attack increases by 7 for 9% chance,12,1
810220,Warrior,Evasive roll,2,4,Crit Factor for first attack increases by 7 for 11% chance,22,1
810220,Warrior,Evasive roll,3,5,Crit Factor for first attack increases by 7 for 13% chance,32,1
810220,Warrior,Evasive roll,3,6,Crit Factor for first attack increases by 7 for 15% chance,42,1
810220,Warrior,Evasive roll,4,7,Crit Factor for first attack increases by 8 for 15% chance,52,1
810220,Warrior,Evasive roll,4,8,Crit Factor for first attack increases by 9 for 15% chance,62,1
810220,Warrior,Evasive roll,5,9,Crit Factor for first attack increases by 10 for 15% chance,72,1
810220,Warrior,Evasive roll,5,10,Crit Factor for first attack increases by 11 for 15% chance,82,1
810230,Warrior,Evasive roll,1,1,RE consumption decreases by 12. Recovers additional RE when RE is below 20%,7,1
810230,Warrior,Evasive roll,1,2,RE consumption decreases by 14. Recovers additional RE when RE is below 20%,14,1
810230,Warrior,Evasive roll,2,3,RE consumption decreases by 16. Recovers additional RE when RE is below 20%,21,1
810230,Warrior,Evasive roll,2,4,RE consumption decreases by 18. Recovers additional RE when RE is below 20%,28,1
810230,Warrior,Evasive roll,3,5,RE consumption decreases by 20. Recovers additional RE when RE is below 20%,35,1
810230,Warrior,Evasive roll,3,6,RE consumption decreases by 22. Recovers additional RE when RE is below 20%,42,1
810230,Warrior,Evasive roll,4,7,RE consumption decreases by 24. Recovers additional RE when RE is below 20%,49,1
810230,Warrior,Evasive roll,4,8,RE consumption decreases by 26. Recovers additional RE when RE is below 20%,56,1
810230,Warrior,Evasive roll,5,9,RE consumption decreases by 28. Recovers additional RE when RE is below 20%,63,1
810230,Warrior,Evasive roll,5,10,RE consumption decreases by 30. Recovers additional RE when RE is below 20%,70,1
810300,Warrior,Torrent of blows,1,1,EP Attack Power increases by 32,9,18
810300,Warrior,Torrent of blows,1,2,EP Attack Power increases by 62,11,18
810300,Warrior,Torrent of blows,1,3,EP Attack Power increases by 90,13,18
810300,Warrior,Torrent of blows,1,4,EP Attack Power increases by 116,15,18
810300,Warrior,Torrent of blows,1,5,EP Attack Power increases by 141,17,18
810300,Warrior,Torrent of blows,1,6,EP Attack Power increases by 164,19,18
810300,Warrior,Torrent of blows,1,7,EP Attack Power increases by 186,21,18
810300,Warrior,Torrent of blows,1,8,EP Attack Power increases by 206,23,18
810300,Warrior,Torrent of blows,1,9,EP Attack Power increases by 225,25,18
810300,Warrior,Torrent of blows,1,10,EP Attack Power increases by 243,27,18
810300,Warrior,Torrent of blows,1,11,EP Attack Power increases by 260,29,18
810300,Warrior,Torrent of blows,1,12,EP Attack Power increases by 276,31,18
810300,Warrior,Torrent of blows,1,13,EP Attack Power increases by 291,33,18
810300,Warrior,Torrent of blows,1,14,EP Attack Power increases by 306,35,18
810300,Warrior,Torrent of blows,1,15,EP Attack Power increases by 319,37,18
810300,Warrior,Torrent of blows,1,16,EP Attack Power increases by 332,39,18
810300,Warrior,Torrent of blows,1,17,EP Attack Power increases by 344,41,18
810300,Warrior,Torrent of blows,1,18,EP Attack Power increases by 356,43,18
810300,Warrior,Torrent of blows,1,19,EP Attack Power increases by 367,45,18
810300,Warrior,Torrent of blows,1,20,EP Attack Power increases by 378,47,18
810300,Warrior,Torrent of blows,1,21,EP Attack Power increases by 388,49,18
810300,Warrior,Torrent of blows,1,22,EP Attack Power increases by 398,51,18
810300,Warrior,Torrent of blows,1,23,EP Attack Power increases by 407,53,18
810300,Warrior,Torrent of blows,1,24,EP Attack Power increases by 416,55,18
810300,Warrior,Torrent of blows,1,25,EP Attack Power increases by 425,57,18
810300,Warrior,Torrent of blows,1,26,EP Attack Power increases by 434,59,18
810300,Warrior,Torrent of blows,1,27,EP Attack Power increases by 442,61,18
810300,Warrior,Torrent of blows,1,28,EP Attack Power increases by 450,63,18
810300,Warrior,Torrent of blows,1,29,EP Attack Power increases by 458,65,18
810300,Warrior,Torrent of blows,1,30,EP Attack Power increases by 465,67,18
810300,Warrior,Torrent of blows,1,31,EP Attack Power increases by 473,69,18
810300,Warrior,Torrent of blows,1,32,EP Attack Power increases by 480,71,18
810300,Warrior,Torrent of blows,1,33,EP Attack Power increases by 487,73,18
810300,Warrior,Torrent of blows,1,34,EP Attack Power increases by 494,75,18
810300,Warrior,Torrent of blows,1,35,EP Attack Power increases by 501,77,18
810300,Warrior,Torrent of blows,1,36,EP Attack Power increases by 508,79,18
810300,Warrior,Torrent of blows,1,37,EP Attack Power increases by 514,81,18
810300,Warrior,Torrent of blows,1,38,EP Attack Power increases by 521,83,18
810300,Warrior,Torrent of blows,1,39,EP Attack Power increases by 528,85,18
810300,Warrior,Torrent of blows,1,40,EP Attack Power increases by 534,87,18
810300,Warrior,Torrent of blows,1,41,EP Attack Power increases by 541,89,18
810300,Warrior,Torrent of blows,1,42,EP Attack Power increases by 547,91,18
810300,Warrior,Torrent of blows,1,43,EP Attack Power increases by 553,93,18
810300,Warrior,Torrent of blows,1,44,EP Attack Power increases by 560,95,18
810300,Warrior,Torrent of blows,1,45,EP Attack Power increases by 566,97,18
810300,Warrior,Torrent of blows,1,46,EP Attack Power increases by 572,99,18
810300,Warrior,Torrent of blows,1,47,EP Attack Power increases by 578,101,18
810300,Warrior,Torrent of blows,1,48,EP Attack Power increases by 584,103,18
810300,Warrior,Torrent of blows,1,49,EP Attack Power increases by 591,105,18
810300,Warrior,Torrent of blows,1,50,EP Attack Power increases by 597,107,18
810300,Warrior,Torrent of blows,1,51,EP Attack Power increases by 603,109,18
810300,Warrior,Torrent of blows,1,52,EP Attack Power increases by 609,111,18
810300,Warrior,Torrent of blows,1,53,EP Attack Power increases by 615,113,18
810300,Warrior,Torrent of blows,1,54,EP Attack Power increases by 621,115,18
810300,Warrior,Torrent of blows,1,55,EP Attack Power increases by 627,117,18
810300,Warrior,Torrent of blows,1,56,EP Attack Power increases by 633,119,18
810300,Warrior,Torrent of blows,1,57,EP Attack Power increases by 639,121,18
810300,Warrior,Torrent of blows,1,58,EP Attack Power increases by 645,123,18
810300,Warrior,Torrent of blows,1,59,EP Attack Power increases by 651,125,18
810300,Warrior,Torrent of blows,1,60,EP Attack Power increases by 657,127,18
810300,Warrior,Torrent of blows,1,61,EP Attack Power increases by 663,129,18
810300,Warrior,Torrent of blows,1,62,EP Attack Power increases by 669,131,18
810300,Warrior,Torrent of blows,1,63,EP Attack Power increases by 675,133,18
810300,Warrior,Torrent of blows,1,64,EP Attack Power increases by 681,135,18
810300,Warrior,Torrent of blows,1,65,EP Attack Power increases by 687,137,18
810300,Warrior,Torrent of blows,1,66,EP Attack Power increases by 693,139,18
810300,Warrior,Torrent of blows,1,67,EP Attack Power increases by 699,141,18
810300,Warrior,Torrent of blows,1,68,EP Attack Power increases by 705,143,18
810300,Warrior,Torrent of blows,1,69,EP Attack Power increases by 711,145,18
810300,Warrior,Torrent of blows,1,70,EP Attack Power increases by 717,147,18
810300,Warrior,Torrent of blows,1,71,EP Attack Power increases by 723,149,18
810300,Warrior,Torrent of blows,1,72,EP Attack Power increases by 729,151,18
810300,Warrior,Torrent of blows,1,73,EP Attack Power increases by 735,153,18
810300,Warrior,Torrent of blows,1,74,EP Attack Power increases by 741,155,18
810300,Warrior,Torrent of blows,1,75,EP Attack Power increases by 747,157,18
810300,Warrior,Torrent of blows,1,76,EP Attack Power increases by 753,159,18
810300,Warrior,Torrent of blows,1,77,EP Attack Power increases by 759,161,18
810300,Warrior,Torrent of blows,1,78,EP Attack Power increases by 765,163,18
810300,Warrior,Torrent of blows,1,79,EP Attack Power increases by 771,165,18
810300,Warrior,Torrent of blows,1,80,EP Attack Power increases by 777,167,18
810300,Warrior,Torrent of blows,1,81,EP Attack Power increases by 783,169,18
810300,Warrior,Torrent of blows,1,82,EP Attack Power increases by 789,171,18
810300,Warrior,Torrent of blows,1,83,EP Attack Power increases by 795,173,18
810300,Warrior,Torrent of blows,1,84,EP Attack Power increases by 801,175,18
810300,Warrior,Torrent of blows,1,85,EP Attack Power increases by 807,177,18
810300,Warrior,Torrent of blows,1,86,EP Attack Power increases by 813,179,18
810300,Warrior,Torrent of blows,1,87,EP Attack Power increases by 819,181,18
810300,Warrior,Torrent of blows,1,88,EP Attack Power increases by 825,183,18
810300,Warrior,Torrent of blows,1,89,EP Attack Power increases by 831,185,18
810300,Warrior,Torrent of blows,1,90,EP Attack Power increases by 837,187,18
810300,Warrior,Torrent of blows,1,91,EP Attack Power increases by 843,189,18
810300,Warrior,Torrent of blows,1,92,EP Attack Power increases by 849,191,18
810300,Warrior,Torrent of blows,1,93,EP Attack Power increases by 855,193,18
810300,Warrior,Torrent of blows,1,94,EP Attack Power increases by 861,195,18
810300,Warrior,Torrent of blows,1,95,EP Attack Power increases by 867,197,18
810300,Warrior,Torrent of blows,1,96,EP Attack Power increases by 873,199,18
810300,Warrior,Torrent of blows,1,97,EP Attack Power increases by 879,201,18
810300,Warrior,Torrent of blows,1,98,EP Attack Power increases by 885,203,18
810300,Warrior,Torrent of blows,1,99,EP Attack Power increases by 891,205,18
810310,Warrior,Torrent of blows,1,1,"Restores RE by 12 when successfully hitting target with aggro on you, and restores MP by 18 when successfully hitting target without aggro on you",12,18
810310,Warrior,Torrent of blows,1,2,"Restores RE by 14 when successfully hitting target with aggro on you, and restores MP by 21 when successfully hitting target without aggro on you",19,18
810310,Warrior,Torrent of blows,2,3,"Restores RE by 16 when successfully hitting target with aggro on you, and restores MP by 24 when successfully hitting target without aggro on you",26,18
810310,Warrior,Torrent of blows,2,4,"Restores RE by 18 when successfully hitting target with aggro on you, and restores MP by 27 when successfully hitting target without aggro on you",33,18
810310,Warrior,Torrent of blows,3,5,"Restores RE by 20 when successfully hitting target with aggro on you, and restores MP by 30 when successfully hitting target without aggro on you",40,18
810310,Warrior,Torrent of blows,3,6,"Restores RE by 22 when successfully hitting target with aggro on you, and restores MP by 33 when successfully hitting target without aggro on you",47,18
810310,Warrior,Torrent of blows,4,7,"Restores RE by 24 when successfully hitting target with aggro on you, and restores MP by 36 when successfully hitting target without aggro on you",54,18
810310,Warrior,Torrent of blows,4,8,"Restores RE by 26 when successfully hitting target with aggro on you, and restores MP by 39 when successfully hitting target without aggro on you",61,18
810310,Warrior,Torrent of blows,5,9,"Restores RE by 28 when successfully hitting target with aggro on you, and restores MP by 42 when successfully hitting target without aggro on you",68,18
810310,Warrior,Torrent of blows,5,10,"Restores RE by 30 when successfully hitting target with aggro on you, and restores MP by 45 when successfully hitting target without aggro on you",75,18
810400,Warrior,Rain of blows,1,1,EP Attack Power increases by 32,7,2
810400,Warrior,Rain of blows,1,2,EP Attack Power increases by 62,9,2
810400,Warrior,Rain of blows,1,3,EP Attack Power increases by 90,11,2
810400,Warrior,Rain of blows,1,4,EP Attack Power increases by 116,13,2
810400,Warrior,Rain of blows,1,5,EP Attack Power increases by 141,15,2
810400,Warrior,Rain of blows,1,6,EP Attack Power increases by 164,17,2
810400,Warrior,Rain of blows,1,7,EP Attack Power increases by 186,19,2
810400,Warrior,Rain of blows,1,8,EP Attack Power increases by 206,21,2
810400,Warrior,Rain of blows,1,9,EP Attack Power increases by 225,23,2
810400,Warrior,Rain of blows,1,10,EP Attack Power increases by 243,25,2
810400,Warrior,Rain of blows,1,11,EP Attack Power increases by 260,27,2
810400,Warrior,Rain of blows,1,12,EP Attack Power increases by 276,29,2
810400,Warrior,Rain of blows,1,13,EP Attack Power increases by 291,31,2
810400,Warrior,Rain of blows,1,14,EP Attack Power increases by 306,33,2
810400,Warrior,Rain of blows,1,15,EP Attack Power increases by 319,35,2
810400,Warrior,Rain of blows,1,16,EP Attack Power increases by 332,37,2
810400,Warrior,Rain of blows,1,17,EP Attack Power increases by 344,39,2
810400,Warrior,Rain of blows,1,18,EP Attack Power increases by 356,41,2
810400,Warrior,Rain of blows,1,19,EP Attack Power increases by 367,43,2
810400,Warrior,Rain of blows,1,20,EP Attack Power increases by 378,45,2
810400,Warrior,Rain of blows,1,21,EP Attack Power increases by 388,47,2
810400,Warrior,Rain of blows,1,22,EP Attack Power increases by 398,49,2
810400,Warrior,Rain of blows,1,23,EP Attack Power increases by 407,51,2
810400,Warrior,Rain of blows,1,24,EP Attack Power increases by 416,53,2
810400,Warrior,Rain of blows,1,25,EP Attack Power increases by 425,55,2
810400,Warrior,Rain of blows,1,26,EP Attack Power increases by 434,57,2
810400,Warrior,Rain of blows,1,27,EP Attack Power increases by 442,59,2
810400,Warrior,Rain of blows,1,28,EP Attack Power increases by 450,61,2
810400,Warrior,Rain of blows,1,29,EP Attack Power increases by 458,63,2
810400,Warrior,Rain of blows,1,30,EP Attack Power increases by 465,65,2
810400,Warrior,Rain of blows,1,31,EP Attack Power increases by 473,67,2
810400,Warrior,Rain of blows,1,32,EP Attack Power increases by 480,69,2
810400,Warrior,Rain of blows,1,33,EP Attack Power increases by 487,71,2
810400,Warrior,Rain of blows,1,34,EP Attack Power increases by 494,73,2
810400,Warrior,Rain of blows,1,35,EP Attack Power increases by 501,75,2
810400,Warrior,Rain of blows,1,36,EP Attack Power increases by 508,77,2
810400,Warrior,Rain of blows,1,37,EP Attack Power increases by 514,79,2
810400,Warrior,Rain of blows,1,38,EP Attack Power increases by 521,81,2
810400,Warrior,Rain of blows,1,39,EP Attack Power increases by 528,83,2
810400,Warrior,Rain of blows,1,40,EP Attack Power increases by 534,85,2
810400,Warrior,Rain of blows,1,41,EP Attack Power increases by 541,87,2
810400,Warrior,Rain of blows,1,42,EP Attack Power increases by 547,89,2
810400,Warrior,Rain of blows,1,43,EP Attack Power increases by 553,91,2
810400,Warrior,Rain of blows,1,44,EP Attack Power increases by 560,93,2
810400,Warrior,Rain of blows,1,45,EP Attack Power increases by 566,95,2
810400,Warrior,Rain of blows,1,46,EP Attack Power increases by 572,97,2
810400,Warrior,Rain of blows,1,47,EP Attack Power increases by 578,99,2
810400,Warrior,Rain of blows,1,48,EP Attack Power increases by 584,101,2
810400,Warrior,Rain of blows,1,49,EP Attack Power increases by 591,103,2
810400,Warrior,Rain of blows,1,50,EP Attack Power increases by 597,105,2
810400,Warrior,Rain of blows,1,51,EP Attack Power increases by 603,107,2
810400,Warrior,Rain of blows,1,52,EP Attack Power increases by 609,109,2
810400,Warrior,Rain of blows,1,53,EP Attack Power increases by 615,111,2
810400,Warrior,Rain of blows,1,54,EP Attack Power increases by 621,113,2
810400,Warrior,Rain of blows,1,55,EP Attack Power increases by 627,115,2
810400,Warrior,Rain of blows,1,56,EP Attack Power increases by 633,117,2
810400,Warrior,Rain of blows,1,57,EP Attack Power increases by 639,119,2
810400,Warrior,Rain of blows,1,58,EP Attack Power increases by 645,121,2
810400,Warrior,Rain of blows,1,59,EP Attack Power increases by 651,123,2
810400,Warrior,Rain of blows,1,60,EP Attack Power increases by 657,125,2
810400,Warrior,Rain of blows,1,61,EP Attack Power increases by 663,127,2
810400,Warrior,Rain of blows,1,62,EP Attack Power increases by 669,129,2
810400,Warrior,Rain of blows,1,63,EP Attack Power increases by 675,131,2
810400,Warrior,Rain of blows,1,64,EP Attack Power increases by 681,133,2
810400,Warrior,Rain of blows,1,65,EP Attack Power increases by 687,135,2
810400,Warrior,Rain of blows,1,66,EP Attack Power increases by 693,137,2
810400,Warrior,Rain of blows,1,67,EP Attack Power increases by 699,139,2
810400,Warrior,Rain of blows,1,68,EP Attack Power increases by 705,141,2
810400,Warrior,Rain of blows,1,69,EP Attack Power increases by 711,143,2
810400,Warrior,Rain of blows,1,70,EP Attack Power increases by 717,145,2
810400,Warrior,Rain of blows,1,71,EP Attack Power increases by 723,147,2
810400,Warrior,Rain of blows,1,72,EP Attack Power increases by 729,149,2
810400,Warrior,Rain of blows,1,73,EP Attack Power increases by 735,151,2
810400,Warrior,Rain of blows,1,74,EP Attack Power increases by 741,153,2
810400,Warrior,Rain of blows,1,75,EP Attack Power increases by 747,155,2
810400,Warrior,Rain of blows,1,76,EP Attack Power increases by 753,157,2
810400,Warrior,Rain of blows,1,77,EP Attack Power increases by 759,159,2
810400,Warrior,Rain of blows,1,78,EP Attack Power increases by 765,161,2
810400,Warrior,Rain of blows,1,79,EP Attack Power increases by 771,163,2
810400,Warrior,Rain of blows,1,80,EP Attack Power increases by 777,165,2
810400,Warrior,Rain of blows,1,81,EP Attack Power increases by 783,167,2
810400,Warrior,Rain of blows,1,82,EP Attack Power increases by 789,169,2
810400,Warrior,Rain of blows,1,83,EP Attack Power increases by 795,171,2
810400,Warrior,Rain of blows,1,84,EP Attack Power increases by 801,173,2
810400,Warrior,Rain of blows,1,85,EP Attack Power increases by 807,175,2
810400,Warrior,Rain of blows,1,86,EP Attack Power increases by 813,177,2
810400,Warrior,Rain of blows,1,87,EP Attack Power increases by 819,179,2
810400,Warrior,Rain of blows,1,88,EP Attack Power increases by 825,181,2
810400,Warrior,Rain of blows,1,89,EP Attack Power increases by 831,183,2
810400,Warrior,Rain of blows,1,90,EP Attack Power increases by 837,185,2
810400,Warrior,Rain of blows,1,91,EP Attack Power increases by 843,187,2
810400,Warrior,Rain of blows,1,92,EP Attack Power increases by 849,189,2
810400,Warrior,Rain of blows,1,93,EP Attack Power increases by 855,191,2
810400,Warrior,Rain of blows,1,94,EP Attack Power increases by 861,193,2
810400,Warrior,Rain of blows,1,95,EP Attack Power increases by 867,195,2
810400,Warrior,Rain of blows,1,96,EP Attack Power increases by 873,197,2
810400,Warrior,Rain of blows,1,97,EP Attack Power increases by 879,199,2
810400,Warrior,Rain of blows,1,98,EP Attack Power increases by 885,201,2
810400,Warrior,Rain of blows,1,99,EP Attack Power increases by 891,203,2
811000,Warrior,Death from above,1,1,EP Attack Power increases by 32,9,26
811000,Warrior,Death from above,1,2,EP Attack Power increases by 62,11,26
811000,Warrior,Death from above,1,3,EP Attack Power increases by 90,13,26
811000,Warrior,Death from above,1,4,EP Attack Power increases by 116,15,26
811000,Warrior,Death from above,1,5,EP Attack Power increases by 141,17,26
811000,Warrior,Death from above,1,6,EP Attack Power increases by 164,19,26
811000,Warrior,Death from above,1,7,EP Attack Power increases by 186,21,26
811000,Warrior,Death from above,1,8,EP Attack Power increases by 206,23,26
811000,Warrior,Death from above,1,9,EP Attack Power increases by 225,25,26
811000,Warrior,Death from above,1,10,EP Attack Power increases by 243,27,26
811000,Warrior,Death from above,1,11,EP Attack Power increases by 260,29,26
811000,Warrior,Death from above,1,12,EP Attack Power increases by 276,31,26
811000,Warrior,Death from above,1,13,EP Attack Power increases by 291,33,26
